epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1347.9,0.85162,1.11257,1.25722,0.56084,0.63559,0.5912,0.44303,0.93838,1.71242,1.46581,0.0011882,0.0011882,0.0011882
43,1368.12,0.85108,1.09096,1.23722,0.55535,0.6822,0.56706,0.43703,0.94778,1.7765,1.41288,0.0011684,0.0011684,0.0011684
44,1387.93,0.82823,1.04053,1.22505,0.58356,0.69473,0.60474,0.45221,0.97113,1.66007,1.44949,0.0011486,0.0011486,0.0011486
45,1408.31,0.8688,1.10744,1.25378,0.56446,0.64831,0.56483,0.44001,0.90901,1.63371,1.36884,0.0011288,0.0011288,0.0011288
46,1428.06,0.83205,1.06584,1.23547,0.50904,0.72458,0.5509,0.42548,0.89319,1.668,1.37191,0.001109,0.001109,0.001109
47,1448.01,0.80203,1.05493,1.19895,0.57266,0.64407,0.57459,0.43582,0.94354,1.76688,1.43588,0.0010892,0.0010892,0.0010892
48,1471.55,0.82398,1.09175,1.23117,0.52571,0.75847,0.60103,0.46762,0.93301,1.65675,1.40534,0.0010694,0.0010694,0.0010694
49,1491.88,0.78722,1.03179,1.19252,0.57195,0.71905,0.60842,0.46418,1.03938,1.58224,1.56367,0.0010496,0.0010496,0.0010496
50,1512.16,0.76438,0.9714,1.1644,0.54139,0.75031,0.57412,0.44783,0.95399,1.58852,1.4134,0.0010298,0.0010298,0.0010298
51,1532.28,0.81132,1.03449,1.23602,0.57246,0.72034,0.59212,0.45902,0.90761,1.52702,1.41569,0.00101,0.00101,0.00101
52,1552.59,0.8263,0.98295,1.23171,0.55476,0.70339,0.57999,0.45051,0.92023,1.66618,1.4069,0.0009902,0.0009902,0.0009902
53,1572.82,0.78786,0.97099,1.20024,0.60289,0.71186,0.62354,0.48137,0.88407,1.59951,1.37409,0.0009704,0.0009704,0.0009704
